Year,CountyNum,CountyName,Sector,RNR, MMTherms 
1991,24,MERCED,Residential,Residential,24.8085
1991,24,MERCED,TCU,Non-Residential,0.2421
1991,27,MONTEREY,Ag With Water Pump,Non-Residential,17.2207
1991,27,MONTEREY,Commercial,Non-Residential,26.1661
1991,27,MONTEREY,Industrial,Non-Residential,39.4219
1991,27,MONTEREY,Mining,Non-Residential,5.4624
1991,27,MONTEREY,Residential,Residential,69.7803
1991,27,MONTEREY,TCU,Non-Residential,1.0562
1991,28,NAPA,Ag With Water Pump,Non-Residential,0.1585
1991,28,NAPA,Commercial,Non-Residential,11.6629
1991,28,NAPA,Industrial,Non-Residential,3.3805
1991,28,NAPA,Mining,Non-Residential,0.0399
1991,28,NAPA,Residential,Residential,23.7953
1991,28,NAPA,TCU,Non-Residential,0.0319
1991,29,NEVADA,Commercial,Non-Residential,2.4549
1991,29,NEVADA,Industrial,Non-Residential,0.1221
1991,29,NEVADA,Mining,Non-Residential,0.0053
1991,29,NEVADA,Residential,Residential,4.3068
1991,29,NEVADA,TCU,Non-Residential,0.0428
1991,30,ORANGE,Ag With Water Pump,Non-Residential,5.2272
1991,30,ORANGE,Commercial,Non-Residential,108.166
1991,30,ORANGE,Industrial,Non-Residential,83.7461
1991,30,ORANGE,Mining,Non-Residential,4.9925
1991,30,ORANGE,Residential,Residential,433.3316
1991,30,ORANGE,TCU,Non-Residential,9.5805
1991,31,PLACER,Ag With Water Pump,Non-Residential,0.3508
1991,31,PLACER,Commercial,Non-Residential,9.0732
1991,31,PLACER,Industrial,Non-Residential,12.0828
1991,31,PLACER,Mining,Non-Residential,0.1576
1991,31,PLACER,Residential,Residential,32.3893
1991,31,PLACER,TCU,Non-Residential,0.1645
1991,33,RIVERSIDE,Ag With Water Pump,Non-Residential,5.9972
1991,33,RIVERSIDE,Commercial,Non-Residential,43.7311
1991,33,RIVERSIDE,Industrial,Non-Residential,68.9055
1991,33,RIVERSIDE,Mining,Non-Residential,1.5851
1991,33,RIVERSIDE,Residential,Residential,217.514
1991,33,RIVERSIDE,TCU,Non-Residential,7.21
1991,34,SACRAMENTO,Ag With Water Pump,Non-Residential,2.2565
1991,34,SACRAMENTO,Commercial,Non-Residential,69.4228
1991,34,SACRAMENTO,Industrial,Non-Residential,62.0335
1991,34,SACRAMENTO,Mining,Non-Residential,2.6697
1991,34,SACRAMENTO,Residential,Residential,204.6457
1991,34,SACRAMENTO,TCU,Non-Residential,1.8798
1991,35,SAN BENITO,Ag With Water Pump,Non-Residential,0.6588
1991,35,SAN BENITO,Commercial,Non-Residential,1.2513
1991,35,SAN BENITO,Industrial,Non-Residential,8.454
1991,35,SAN BENITO,Mining,Non-Residential,0.976
1991,35,SAN BENITO,Residential,Residential,5.4057
1991,35,SAN BENITO,TCU,Non-Residential,0.0076
1991,36,SAN BERNARDINO,Ag With Water Pump,Non-Residential,4.858
1991,36,SAN BERNARDINO,Commercial,Non-Residential,76.8804
1991,36,SAN BERNARDINO,Industrial,Non-Residential,165.4945
1991,36,SAN BERNARDINO,Mining,Non-Residential,1.1471
1991,36,SAN BERNARDINO,Residential,Residential,262.1347
1991,36,SAN BERNARDINO,TCU,Non-Residential,10.9455
1991,37,SAN DIEGO,Ag With Water Pump,Non-Residential,5.5082
1991,37,SAN DIEGO,Commercial,Non-Residential,108.5859
1991,37,SAN DIEGO,Industrial,Non-Residential,32.8956
1991,37,SAN DIEGO,Mining,Non-Residential,6.2523
1991,37,SAN DIEGO,Residential,Residential,335.2821
1991,37,SAN DIEGO,TCU,Non-Residential,17.5403
1991,38,SAN FRANCISCO,Ag With Water Pump,Non-Residential,0.1144
1991,38,SAN FRANCISCO,Commercial,Non-Residential,90.6575
1991,38,SAN FRANCISCO,Industrial,Non-Residential,9.0354
1991,38,SAN FRANCISCO,Mining,Non-Residential,0.5256
1991,38,SAN FRANCISCO,Residential,Residential,184.0278
1991,38,SAN FRANCISCO,TCU,Non-Residential,14.3694
1991,39,SAN JOAQUIN,Ag With Water Pump,Non-Residential,3.7171
1991,39,SAN JOAQUIN,Commercial,Non-Residential,27.2142
1991,39,SAN JOAQUIN,Industrial,Non-Residential,139.5626
1991,39,SAN JOAQUIN,Mining,Non-Residential,3.0065
1991,39,SAN JOAQUIN,Residential,Residential,85.1673
1991,39,SAN JOAQUIN,TCU,Non-Residential,1.3066
1991,40,SAN LUIS OBISPO,Ag With Water Pump,Non-Residential,2.4639
1991,40,SAN LUIS OBISPO,Commercial,Non-Residential,14.2392
1991,40,SAN LUIS OBISPO,Industrial,Non-Residential,0.6514
1991,40,SAN LUIS OBISPO,Mining,Non-Residential,1.475
1991,40,SAN LUIS OBISPO,Residential,Residential,35.6702
1991,40,SAN LUIS OBISPO,TCU,Non-Residential,0.9438
1991,41,SAN MATEO,Ag With Water Pump,Non-Residential,5.0117
1991,41,SAN MATEO,Commercial,Non-Residential,47.659
1991,41,SAN MATEO,Industrial,Non-Residential,19.373
1991,41,SAN MATEO,Mining,Non-Residential,0.5867
1991,41,SAN MATEO,Residential,Residential,155.3334
1991,41,SAN MATEO,TCU,Non-Residential,4.7088
1991,42,SANTA BARBARA,Ag With Water Pump,Non-Residential,7.0429
1991,42,SANTA BARBARA,Commercial,Non-Residential,22.6126
1991,42,SANTA BARBARA,Industrial,Non-Residential,22.4655
1991,42,SANTA BARBARA,Mining,Non-Residential,3.1423
1991,42,SANTA BARBARA,Residential,Residential,65.4987
1991,42,SANTA BARBARA,TCU,Non-Residential,5.2409
1991,43,SANTA CLARA,Ag With Water Pump,Non-Residential,4.7117
1991,43,SANTA CLARA,Commercial,Non-Residential,107.3284
1991,43,SANTA CLARA,Industrial,Non-Residential,119.7938
1991,43,SANTA CLARA,Mining,Non-Residential,1.277
1991,43,SANTA CLARA,Residential,Residential,298.2929
1991,43,SANTA CLARA,TCU,Non-Residential,3.8639
